鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
中山區,建物,臺北市中山區天祥路61~90號,0.0,商,,,1061116,土地0建物1車位0,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931203,52.46,2,1,1,有,有,有,35000,667,,0.0,0,,RPRNMLMKKIMFFCA57CC
中山區,建物,臺北市中山區長安東路一段31~60號,0.0,商,,,1061115,土地0建物1車位1,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960810,153.95,3,1,2,有,有,有,61000,396,坡道平面,0.0,0,,RPSNMLMKKIMFFCA67CC
中山區,建物,臺北市中山區北安路811~840號,0.0,住,,,1061123,土地0建物1車位0,十一層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,0991224,46.83,1,1,1,有,有,有,21000,448,,0.0,0,,RPTOMLMKKIMFFCA87CC
中山區,房地(土地+建物),臺北市中山區中山北路二段196巷1~30號,15.27,住,,,1061128,土地1建物1車位0,一層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0720315,77.14,0,0,0,無,無,無,40000,519,,0.0,0,租期107/01/07~110/01/06,RPVOMLMKKIMFFCA08CC
中山區,建物,臺北市中山區新生北路二段68巷1~30號,0.0,商,,,1061127,土地0建物1車位0,七層,12,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050602,78.45,2,1,1,有,有,有,65000,829,,0.0,0,租金內含管理費,RPQPMLMKKIMFFCA67CC
中山區,建物,臺北市中山區林森北路421~450號,0.0,商,,,1061201,土地0建物1車位0,一層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041204,88.22,0,0,0,無,無,無,125000,1417,,0.0,0,,RPXPMLMKKIMFFCA38CC
中山區,建物,臺北市中山區新生北路二段62巷1~30號,0.0,商,,,1061117,土地0建物1車位0,十四層,19,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1050322,143.66,3,2,2,有,有,有,60000,418,,0.0,0,,RPWQMLMKKIMFFCA38CC
內湖區,建物,臺北市內湖區成功路四段331~360號,0.0,住,,,1061125,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710611,100.1,3,2,2,有,無,無,15000,150,,0.0,0,,RPSNMLNKKIMFFCA77CC
內湖區,建物,臺北市內湖區內湖路三段173巷1~30號,0.0,住,,,1061124,土地0建物1車位1,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0910128,141.76,4,2,2,有,有,無,27000,190,坡道平面,28.95,0,,RPTNMLNKKIMFFCA87CC
中山區,建物,臺北市中山區民權西路1~30號,0.0,商,,,1061121,土地0建物1車位0,三層,12,辦公商業大樓,商業用,鋼筋混凝土造,0680911,268.42,5,1,0,有,有,無,102169,381,,0.0,0,,RPUOMLNKKIMFFCA08CC
