編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPUNMLOLJIMFFAN98CA,1,218.33,見其他登記事項,鋼筋混凝土造,106年1月4日,四層,一層 二層 三層 四層
RPSNMLOLJIMFFAN78CA,23,155.11,住家用,鋼筋混凝土造,83年8月24日,四層,一層 二層 三層 四層
RPPNMLMLJIMFFAN28CA,2,163.30,見其他登記事項,鋼筋混凝土造,105年4月12日,三層,一層 二層 三層 屋頂突出物
RPQNMLRLJIMFFBN98CA,2,63.00,農舍,見其他登記事項,104年8月27日,一層,一層
RPOOMLOLJIMFFAN48CA,1,193.71,見其他登記事項,鋼筋混凝土造,106年1月4日,四層,一層 二層 三層 四層
RPTOMLOLJIMFFAN98CA,1,193.71,見其他登記事項,鋼筋混凝土造,106年1月4日,四層,一層 二層 三層 四層
RPPOMLOLJIMFFAN58CA,1,228.31,見其他登記事項,鋼筋混凝土造,106年1月4日,四層,一層 二層 三層 四層
RPROMLOLJIMFFAN78CA,1,173.48,見其他登記事項,鋼筋混凝土造,106年1月4日,四層,一層 二層 三層 四層
RPWNMLOLJIMFFAN56CA,1,246.79,住家用,鋼筋混凝土造,106年1月4日,四層,一層 二層 三層 四層
RPUOMLOLJIMFFAN09CA,1,227.70,見其他登記事項,鋼筋混凝土造,106年1月4日,四層,一層 二層 三層 四層
RPQOMLOLJIMFFAN68CA,1,173.48,見其他登記事項,鋼筋混凝土造,106年1月4日,四層,一層 二層 三層 四層
RPSOMLOLJIMFFAN88CA,1,182.44,住家用,鋼筋混凝土造,106年1月4日,四層,一層 二層 三層 四層
RPTOMLOLJIMFFBN09CA,26,195.29,住家用,鋼筋混凝土造,80年6月14日,四層,一層 二層 三層 四層
RPOOMLMKKIMFFBN38CA,37,109.88,住家用,鋼筋混凝土加強磚造,69年12月27日,二層,一層 二層 騎樓
RPTNMLKKKIMFFCN68CA,,165.46,見其他登記事項,鋼筋混凝土造,106年5月17日,四層,一層 二層 三層 四層
RPOOMLOKKIMFFDN78CA,22,51.66,住家用,鋼筋混凝土造,84年8月22日,十層,七層
RPOOMLOKKIMFFDN78CA,22,20.68,見其他登記事項,鋼筋混凝土造,84年8月22日,十層,
RPOOMLOKKIMFFDN78CA,22,.16,見其他登記事項,鋼筋混凝土造,84年8月22日,十層,
RPPNMLRKJIMFFEN09CA,24,159.63,住家用,鋼筋混凝土造,83年4月13日,四層,一層 二層 三層 四層
RPTOMLKKKIMFFCN78CA,,188.96,見其他登記事項,鋼筋混凝土造,106年5月4日,三層,一層 二層 三層 屋頂突出物
RPSNMLPKKIMFFDN56CA,1,284.70,見其他登記事項,鋼筋混凝土造,105年6月6日,四層,一層 二層 三層 四層
RPUNMLOJKIMFFEN66CA,42,86.92,住家用,鋼筋混凝土加強磚造,64年11月1日,二層,一層 二層
RPPNMLQLJIMFFEN09CA,7,137.30,住家用,鋼筋混凝土造,99年12月3日,三層,一層 二層 三層 騎樓
RPRNMLLLJIMFFEN78CA,37,118.80,住商用,鋼筋混凝土加強磚造,70年1月14日,二層,一層 二層 騎樓
RPQNMLPLJIMFFEN09CA,24,287.50,農舍,鋼筋混凝土造,82年6月5日,二層,一層 二層
RPUNMLLJKIMFFCN78CA,,252.44,住家用,鋼筋混凝土造,106年8月15日,四層,一層 二層 三層 四層
RPVOMLRKJIMFFGN37CA,37,102.96,住家用,加強磚造,69年12月31日,二層,一層 二層 騎樓
RPUOMLRKJIMFFGN27CA,37,102.96,住家用,加強磚造,69年12月31日,二層,一層 二層 騎樓
RPQNMLSJKIMFFGN86CA,19,166.66,見其他登記事項,鋼筋混凝土造,87年5月6日,十三層,一層 二層 三層 騎樓
RPQNMLSJKIMFFGN86CA,19,53.16,見其他登記事項,鋼筋混凝土造,87年5月6日,十三層,
RPPNMLPLJIMFFGN56CA,24,237.34,住家用,鋼筋混凝土造,82年9月29日,三層,一層 二層 三層 騎樓 地下層
