鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
西屯區,房地(土地+建物),臺中市西屯區朝富路211~240號,20.34,其他,,,1061122,土地1建物1車位0,七層,34,辦公商業大樓,見其他登記事項,鋼骨鋼筋混凝土造,1040924,344.7,0,0,0,無,有,無,78203,227,,0.0,0,,RPOPMLNLJIMFFCB67CC
西屯區,房地(土地+建物)+車位,臺中市西屯區臺灣大道二段901~930號,25.66,商,,,1061117,土地1建物1車位2,五層,14,辦公商業大樓,商業用,鋼筋混凝土造,0831024,283.49,0,0,0,無,有,無,45000,159,坡道機械,0.0,0,,RPQPMLNLJIMFFCB87CC
大里區,房地(土地+建物),臺中市大里區立仁三路1~30號,132.03,,鄉村區,乙種建築用地,1061029,土地1建物1車位0,全,1,透天厝,住家用,加強磚造,0681018,64.03,3,2,1,有,無,有,15000,234,,0.0,0,,RPWNMLNLJIMFFIB88CC
大甲區,房地(土地+建物),臺中市大甲區大安港路173巷1~30號,112.0,工,,,1061121,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,0791101,190.89,5,2,3,有,無,有,12000,63,,0.0,0,,RPPNMLNLJIMFFEB77CC
西屯區,房地(土地+建物)+車位,臺中市西屯區青海路二段181~210號,13345.41,住,,,1061110,土地1建物1車位1,十三層,25,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000112,168.85,3,3,3,有,有,有,158000,0,其他,13345.41,0,,RPROMLNLJIMFFCB97DC
霧峰區,房地(土地+建物),臺中市霧峰區四德路511~540號,74.58,,特定農業區,甲種建築用地,1061010,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,1051216,229.01,0,0,0,無,無,無,24000,105,,0.0,0,,RPUNMLOLJIMFFIB78CC
東區,土地,旱溪段91~120地號,448.0,住,,,1061114,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,40000,89,,0.0,0,,RPXOMLOLJIMFFAB48DC
北區,房地(土地+建物),臺中市北區漢口路四段61~90號,3.37,住,,,1061026,土地1建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850715,31.97,1,1,1,有,有,有,6000,188,,0.0,0,,RPPPMLOLJIMFFBB87DC
北區,房地(土地+建物),臺中市北區漢口路四段61~90號,13.48,住,,,1061106,土地2建物2車位0,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850715,64.49000000000001,1,1,1,有,有,有,8000,124,,0.0,0,,RPRPMLOLJIMFFBB08DC
西區,房地(土地+建物)+車位,臺中市西區忠明南路91~120號,16.46,住,,,1061101,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0951222,114.31,3,2,2,有,有,有,38000,332,坡道平面,16.46,0,38000不含10%租賃所得稅及1.91%補充健保費及含管理費及一個車位清潔費,RPSNMLOLJIMFFAB77CC
西區,房地(土地+建物),臺中市西區三民路一段50巷1~30號,2.59,住,,,1061026,土地2建物1車位0,六層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840113,34.18,1,0,1,有,有,有,4300,126,,0.0,0,,RPOOMLOLJIMFFAB47CC
南區,房地(土地+建物),臺中市南區工學北路61~90號,2.39,商,,,1061105,土地1建物1車位0,六層,18,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0850506,39.91,1,0,1,有,有,有,6500,163,,0.0,0,,RPRNMLQLJIMFFAB87CC
西區,房地(土地+建物),臺中市西區美村路一段117巷1~30號,68.0,商,,,1061123,土地1建物1車位0,見其他登記事項,2,店面(店鋪),住家用,加強磚造,0620124,69.3,3,2,2,有,無,無,32000,462,,0.0,0,,RPTOMLRLJIMFFAB28CC
西區,房地(土地+建物),臺中市西區忠明南路91~120號,13.08,住,,,1061109,土地1建物1車位0,五層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0951222,129.88,3,2,2,有,有,有,36000,277,,0.0,0,,RPVPMLRLJIMFFAB58CC
西區,房地(土地+建物),臺中市西區英才路421~450號,8.6,住,,,1061101,土地1建物1車位0,四層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0990812,84.2,1,1,1,有,有,有,33000,392,,0.0,0,,RPOQMLRLJIMFFAB97CC
北區,車位,臺中市北區進化北路301~330號,0.5,商,,,1061118,土地0建物0車位1,,,其他,,,,31.88,0,0,0,有,有,無,3500,,坡道平面,31.88,3500,,RPPPMLRLJIMFFBB08CC
